trade_date,symbol,company_name,sector,open_price,high_price,low_price,close_price,Volume,turnover,market_cap
01-11-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,153.5,154.65,145.25,146.45,28480784,428000000000000.00,0.2739
02-11-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,141.15,150,140,149.1,18000957,265000000000000.00,0.2547
05-11-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,149,155.5,148.1,152.15,21843644,334000000000000.00,0.2749
06-11-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,154.8,163.9,152.05,154.15,46057670,729000000000000.00,0.2351
07-11-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,157,159.2,148.5,151.9,18896147,290000000000000.00,0.2054
08-11-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,148,153.35,146,149.3,15744672,237000000000000.00,0.2602
09-11-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,155,155,146.7,148.7,4863716,72900000000000.00,0.4816
12-11-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,144.8,155.6,140.85,152.9,19773981,291000000000000.00,0.2715
13-11-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,155.5,159.7,150.55,156.55,24654680,388000000000000.00,0.2335
14-11-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,159.3,161.5,153.7,154.5,20665456,323000000000000.00,0.3868
15-11-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,157.4,159.85,154.15,157.1,16448771,258000000000000.00,0.46
16-11-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,156.4,159.55,154.2,156,10628606,167000000000000.00,0.4187
19-11-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,159.55,167.5,158.35,161.65,22903160,373000000000000.00,0.395
20-11-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,161,165.5,157.2,159.15,14817475,241000000000000.00,0.3264
21-11-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,160.1,161.05,143.2,146.75,15083160,230000000000000.00,0.4402
22-11-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,145.2,151.1,135.55,141.7,19179109,271000000000000.00,0.3346
23-11-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,151,152,142.6,151.1,15561055,229000000000000.00,0.2664
26-11-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,156.7,156.7,151.1,152.3,11339510,174000000000000.00,0.3847
27-11-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,154.9,154.9,147,148.55,11572427,173000000000000.00,0.4992
28-11-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,151.8,152.5,145.35,146.35,9244865,138000000000000.00,0.3753
29-11-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,150,150.8,140.55,142.4,14361173,207000000000000.00,0.5818
30-11-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,145,148.8,143,147.9,10371221,152000000000000.00,0.4081
03-12-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,149.7,151.85,148.55,150,9478818,142000000000000.00,0.4322
04-12-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,151,152.25,146.95,148.05,7879911,118000000000000.00,0.4307
05-12-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,148.3,154.5,148,153.95,15595480,237000000000000.00,0.4806
06-12-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,157.3,159.65,149.15,151.1,13558903,209000000000000.00,0.4085
07-12-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,152.05,154.2,147.75,150.45,6605094,99500000000000.00,0.3216
10-12-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,151.9,152.45,148.65,150.6,4685632,70500000000000.00,0.3421
11-12-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,151.95,152.8,149.15,149.9,6573349,99300000000000.00,0.4466
12-12-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,148,151.15,147,149.8,9192451,137000000000000.00,0.622
13-12-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,150.85,152,146.7,147.3,8230435,123000000000000.00,0.5586
14-12-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,146.8,148.15,145.1,145.85,6182918,90500000000000.00,0.5211
17-12-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,146.7,147.5,135,137.05,10887572,153000000000000.00,0.6246
18-12-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,135.5,141,132.2,136.45,12154381,166000000000000.00,0.4546
19-12-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,140.85,142.05,132.8,133.95,10983891,151000000000000.00,0.5261
20-12-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,135.7,136.8,132,132.6,9621680,129000000000000.00,0.5002
24-12-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,134.6,138.8,133.5,136.65,9400232,128000000000000.00,0.4962
26-12-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,137.4,142.5,137.4,140.8,11773181,166000000000000.00,0.4961
27-12-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,143.7,145.7,140.6,141.8,25067975,359000000000000.00,0.494
28-12-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,141.5,143.5,140,142.9,10324419,147000000000000.00,0.543
31-12-2007,POWERGRID,Power Grid Corporation of India Ltd,Utilities,144,144.8,142.2,143.95,6740050,96700000000000.00,0.4827
01-01-2008,POWERGRID,Power Grid Corporation of India Ltd,Utilities,144.7,147.95,143.35,146.6,9386860,137000000000000.00,0.4367
02-01-2008,POWERGRID,Power Grid Corporation of India Ltd,Utilities,146.6,147.7,143.65,145.8,7558472,110000000000000.00,0.4689
03-01-2008,POWERGRID,Power Grid Corporation of India Ltd,Utilities,144.9,152.4,143.15,151.8,17896065,268000000000000.00,0.3927
04-01-2008,POWERGRID,Power Grid Corporation of India Ltd,Utilities,154,156,150,151,15756366,242000000000000.00,0.4237
07-01-2008,POWERGRID,Power Grid Corporation of India Ltd,Utilities,150.05,153.2,148.15,149.75,8920163,134000000000000.00,0.4629
08-01-2008,POWERGRID,Power Grid Corporation of India Ltd,Utilities,149.9,152,142.9,144.65,7471502,109000000000000.00,0.3826
09-01-2008,POWERGRID,Power Grid Corporation of India Ltd,Utilities,144.8,145.45,142,142.35,7376361,106000000000000.00,0.4509
10-01-2008,POWERGRID,Power Grid Corporation of India Ltd,Utilities,143,147,138,138.95,10137942,145000000000000.00,0.3769
11-01-2008,POWERGRID,Power Grid Corporation of India Ltd,Utilities,140.85,142.4,135.5,141.05,6541562,90700000000000.00,0.2759
14-01-2008,POWERGRID,Power Grid Corporation of India Ltd,Utilities,141.3,144.7,139.05,143.2,5773637,81600000000000.00,0.4121
15-01-2008,POWERGRID,Power Grid Corporation of India Ltd,Utilities,145.5,146.1,137.7,138.85,6501565,92300000000000.00,0.3231
16-01-2008,POWERGRID,Power Grid Corporation of India Ltd,Utilities,137.85,139,132.55,136,8344164,113000000000000.00,0.434
17-01-2008,POWERGRID,Power Grid Corporation of India Ltd,Utilities,136.5,142.75,133.6,139.65,9095287,126000000000000.00,0.2148
18-01-2008,POWERGRID,Power Grid Corporation of India Ltd,Utilities,138.5,138.65,132,133.15,7455465,101000000000000.00,0.4566
21-01-2008,POWERGRID,Power Grid Corporation of India Ltd,Utilities,132,132,96.25,110.5,18676349,216000000000000.00,0.5084
22-01-2008,POWERGRID,Power Grid Corporation of India Ltd,Utilities,99.6,105,78.95,99.4,33050094,308000000000000.00,0.6178
23-01-2008,POWERGRID,Power Grid Corporation of India Ltd,Utilities,101,114.75,101,110.5,15989624,174000000000000.00,0.5105
24-01-2008,POWERGRID,Power Grid Corporation of India Ltd,Utilities,116.45,118.6,105.5,110.75,16825465,189000000000000.00,0.5739
